#{"t_start": 1600105751.413093, "env_id": "Reacher2Dof-v0"}
r,l,t
-23.016433,150,1.191623
-37.542141,150,1.555209
14.889523,150,1.916463
-20.717538,150,2.275868
3.679056,150,2.642687
-18.002766,150,2.999484
-9.072532,150,3.354537
-22.06266,150,3.715009
-9.462155,150,4.573601
-33.372959,150,4.955837
-23.507882,150,5.31361
-29.680517,150,5.664356
-36.758181,150,6.016758
-3.369253,150,6.382988
-12.753882,150,6.765683
-16.827763,150,7.129196
-5.616431,150,7.952579
-17.548455,150,8.344611
-7.878359,150,8.692949
-14.476696,150,9.03925
-0.247727,150,9.395697
-36.803232,150,9.750577
-6.029615,150,10.104031
-7.124162,150,10.459898
-41.333558,150,10.825303
-8.232288,150,11.612133
-7.304696,150,11.967239
-8.202613,150,12.313656
-17.28976,150,12.666176
-25.792891,150,13.013471
-20.563877,150,13.376803
-9.092286,150,13.729199
-19.067013,150,14.079091
5.453727,150,14.870277
-17.851716,150,15.22908
-46.958686,150,15.586823
-31.277085,150,15.934683
-7.952552,150,16.282321
-16.079653,150,16.62991
-6.33921,150,16.97808
-36.010415,150,17.333321
-30.037051,150,18.126617
-9.734667,150,18.488946
-14.19583,150,18.835075
-9.885505,150,19.191243
-9.052087,150,19.54088
-8.282633,150,19.895019
-17.52534,150,20.250296
-13.593766,150,20.602016
4.8879,150,20.950488
-10.794155,150,21.729247
-17.821406,150,22.109528
-17.18496,150,22.493212
-27.909064,150,22.858747
-9.663468,150,23.222111
-20.057823,150,23.583112
10.647455,150,23.953682
8.530201,150,24.303732
-1.659213,150,25.134871
-2.669589,150,25.532801
-12.677167,150,25.903395
-16.720647,150,26.25472
-5.059821,150,26.605705
-29.088412,150,26.967935
2.342613,150,27.320213
-17.921665,150,27.684609
-20.413415,150,28.477112
-14.23592,150,28.85386
-21.994142,150,29.221928
-12.748027,150,29.578828
-3.495413,150,29.933098
-21.968907,150,30.292815
-20.38039,150,30.651392
-19.954879,150,31.004933
-22.619192,150,31.354742
6.692745,150,32.134003
-12.95046,150,32.498841
-23.441287,150,32.914314
-25.402693,150,33.278372
-43.559062,150,33.632158
-8.790439,150,33.99917
-7.353529,150,34.368528
-9.053351,150,34.716347
