#{"t_start": 1600106573.248705, "env_id": "Reacher2Dof-v0"}
r,l,t
-47.907001,150,2.919038
8.298577,150,3.277728
-1.886336,150,3.656291
9.163799,150,4.038909
-2.686929,150,4.412357
-21.719388,150,4.780637
-22.906845,150,5.199844
-25.6736,150,5.551222
-15.704026,150,6.465348
-16.780568,150,6.832355
-13.394626,150,7.200208
-20.69528,150,7.56254
-22.206913,150,7.930693
-1.66565,150,8.315145
6.140782,150,8.709836
10.928871,150,9.087306
-15.391127,150,9.907194
-5.39316,150,10.270178
-11.173135,150,10.646572
-9.16493,150,11.008095
-11.18521,150,11.390424
-5.390357,150,11.775203
-11.448381,150,12.141295
-19.799845,150,12.5103
-25.693912,150,12.886708
-21.414056,150,13.704895
-2.985491,150,14.109653
6.74042,150,14.512073
-2.984029,150,14.908172
-14.541485,150,15.299735
7.251952,150,15.677765
4.100977,150,16.04895
-21.459605,150,16.430512
5.439242,150,17.242818
-27.752896,150,17.613707
-3.387698,150,17.981232
-19.718346,150,18.357144
-2.045985,150,18.7286
-15.579689,150,19.104747
-7.36441,150,19.476653
-7.418647,150,19.856031
-9.989593,150,20.726655
-5.678294,150,21.124685
-8.814553,150,21.503665
-10.18754,150,21.879548
-5.703033,150,22.248534
-1.550127,150,22.630926
-15.251076,150,23.02329
-8.189357,150,23.424644
8.045743,150,23.793715
3.343326,150,24.61947
4.465282,150,24.984483
-16.323001,150,25.370835
-10.156749,150,25.760591
-8.290139,150,26.140835
8.58276,150,26.520107
-18.958912,150,26.898834
-24.116798,150,27.2902
-21.47035,150,28.139072
-16.749773,150,28.528854
-23.573022,150,28.915022
-43.05027,150,29.294692
-7.99322,150,29.674215
-67.5105,150,30.048978
-65.412646,150,30.45276
-28.704826,150,30.833496
-38.046185,150,31.661021
-107.158299,150,32.029867
-14.717637,150,32.408099
-50.20843,150,32.784772
-2.363343,150,33.148145
-27.273867,150,33.507121
-13.828917,150,33.871254
-38.209171,150,34.239345
-29.845951,150,34.639871
-28.296119,150,35.514914
-72.630963,150,35.88824
-14.458025,150,36.255264
-22.530979,150,36.628659
-13.680894,150,36.996358
-6.751314,150,37.375262
-12.40307,150,37.748433
-18.557516,150,38.119475
