#{"t_start": 1600108732.4549553, "env_id": "Reacher2Dof-v0"}
r,l,t
2.374575,150,0.562068
2.313107,150,0.839661
-14.008024,150,1.134014
-27.531417,150,1.299288
-135.370475,150,1.59272
-162.829221,150,1.770592
-75.368322,150,2.058783
-75.448702,150,2.240813
-73.222834,150,2.532513
-85.97884,150,2.715742
-87.710735,150,2.997327
-82.519024,150,3.171587
-80.972048,150,3.462219
-170.161498,150,3.646241
-193.223096,150,3.938552
-127.070064,150,4.125182
-143.922168,150,4.410319
-142.839313,150,4.592639
-76.18661,150,4.885545
-135.043524,150,5.070438
5.107035,150,5.362122
-149.233584,150,5.549597
-168.628557,150,5.844043
-61.340085,150,6.030832
-88.229352,150,6.328843
-81.996375,150,6.508496
-62.14959,150,6.798844
-156.164958,150,6.972078
-62.368471,150,7.271841
-176.942844,150,7.449939
-159.244121,150,7.749053
-94.345078,150,7.922703
-166.852443,150,8.198567
-179.344708,150,8.372881
-189.846119,150,8.649023
-173.823756,150,8.821713
-136.398333,150,9.100091
-78.209218,150,9.273408
-167.662988,150,9.551172
-137.162554,150,9.723535
-74.178002,150,10.000009
-86.686321,150,10.173066
-79.362399,150,10.449115
-74.005003,150,10.622319
-97.333389,150,10.898826
-111.988602,150,11.072571
-76.528896,150,11.348694
-97.156397,150,11.523224
-61.653291,150,11.800442
-79.751295,150,11.973912
-178.728548,150,12.251082
-154.595232,150,12.433116
-70.132337,150,12.734744
-176.252857,150,12.917111
-83.127756,150,13.217328
-71.138608,150,13.401245
-88.867994,150,13.701827
-58.58517,150,13.884263
-85.369493,150,14.182438
-81.686598,150,14.362983
-87.361352,150,14.645766
-171.484263,150,14.826429
-68.273018,150,15.117512
-63.523224,150,15.296652
-182.940049,150,15.590469
-78.509171,150,15.775177
-83.261959,150,16.523347
-64.159025,150,16.712923
-61.998131,150,17.011393
-174.679724,150,17.195601
-179.53525,150,17.486717
-83.941931,150,17.67527
-165.691424,150,17.965553
-60.121333,150,18.141932
-151.057189,150,18.439438
-76.247141,150,18.623468
-77.782564,150,18.919972
-72.865633,150,19.102891
-72.266619,150,19.398495
-73.441934,150,19.575863
-30.87433,150,19.867899
-76.84412,150,20.049912
-172.911891,150,20.333638
-81.33804,150,20.519908
-83.54177,150,20.800208
-72.16222,150,20.983998
-76.95874,150,21.273997
-64.548935,150,21.459303
-68.768489,150,21.766311
-86.147484,150,21.945407
-91.294521,150,22.242209
-155.19134,150,22.430412
-70.757575,150,22.725841
-72.923135,150,22.911676
-78.699128,150,23.199081
-79.553086,150,23.384275
-170.720733,150,23.682901
9.19466,150,23.869136
-56.388112,150,24.162878
-93.134316,150,24.349432
-27.811684,150,24.64862
-38.109654,150,24.83794
-46.280041,150,25.135306
