#{"t_start": 1600106801.2851107, "env_id": "Reacher2Dof-v0"}
r,l,t
-7.370006,150,1.250635
6.028262,150,1.563913
-18.413668,150,1.894462
-8.074908,150,2.212668
-11.560176,150,2.523415
-18.552745,150,2.849025
-30.721109,150,3.163143
-11.6482,150,3.47478
-18.499499,150,4.262982
-13.786451,150,4.577418
-9.839846,150,4.891398
-28.686065,150,5.250682
-8.498271,150,5.559919
-7.538963,150,5.873513
-13.189608,150,6.183754
-17.397504,150,6.505807
10.951029,150,7.237386
7.77473,150,7.571061
8.2973,150,7.894865
-15.889067,150,8.202169
-6.164614,150,8.513387
-8.999217,150,8.823555
-8.48031,150,9.139147
-29.115142,150,9.473368
-1.740516,150,9.793421
-10.709639,150,10.539096
-11.578125,150,10.85561
-2.455318,150,11.193597
-16.234373,150,11.508783
-14.407699,150,11.843955
-15.31392,150,12.161646
-28.667425,150,12.478284
-21.216703,150,12.79514
-16.756961,150,13.537818
-6.835276,150,13.872335
0.203526,150,14.191514
-9.660994,150,14.528397
-11.824283,150,14.846246
-20.219264,150,15.171319
-26.866346,150,15.48717
-22.720111,150,15.836051
-13.377143,150,16.567509
-25.496924,150,16.88332
3.778993,150,17.201203
-16.182824,150,17.512979
-16.961218,150,17.82656
-4.025378,150,18.157903
-8.635001,150,18.476604
-22.387072,150,18.79479
-3.208577,150,19.11539
-13.740741,150,19.856891
-16.415265,150,20.172926
-8.74808,150,20.508796
-9.660358,150,20.831262
-16.020513,150,21.149379
-8.685499,150,21.470257
-15.090579,150,21.793721
-11.082498,150,22.11205
-18.296062,150,22.87103
-4.485813,150,23.187568
-13.038932,150,23.50366
-10.316501,150,23.822286
2.376896,150,24.140058
-2.645603,150,24.457677
-6.359668,150,24.794878
-8.127853,150,25.114114
-9.744392,150,25.834544
-26.675323,150,26.145614
-4.388654,150,26.486181
-18.398415,150,26.82112
-19.990666,150,27.138695
-11.566069,150,27.458465
-18.554774,150,27.771718
-23.089978,150,28.085841
-3.124798,150,28.427816
-1.124966,150,29.176342
-4.963688,150,29.495601
-4.806378,150,29.815548
-12.489058,150,30.138182
-10.787225,150,30.453973
2.783314,150,30.771873
-7.413011,150,31.104003
