#{"t_start": 1600106834.955457, "env_id": "Reacher2Dof-v0"}
r,l,t
-7.149208,150,1.261465
-4.06368,150,1.573847
-28.995153,150,1.886456
-25.273299,150,2.238412
-12.19755,150,2.541483
-8.999105,150,2.845439
-18.517467,150,3.157306
-8.548872,150,3.459743
1.559121,150,3.770489
-19.243182,150,4.079661
-16.653354,150,4.388958
-9.713541,150,4.69388
-17.261696,150,5.014092
-8.039422,150,5.324351
-19.299952,150,5.637577
-16.523134,150,5.941156
-85.302646,150,6.248911
-79.914281,150,6.554556
-18.971249,150,6.861551
-22.513075,150,7.188352
-18.51112,150,7.515769
-23.66134,150,7.825986
-17.28423,150,8.138143
5.036811,150,8.484592
-18.317228,150,8.874966
-13.681609,150,9.217019
2.040826,150,9.529845
-12.84812,150,9.84548
11.527426,150,10.163275
-19.214103,150,10.479629
-10.752194,150,10.849835
-20.784749,150,11.178306
-17.67488,150,11.486702
-13.456395,150,11.801239
-31.142324,150,12.151854
-12.203403,150,12.474393
-11.017929,150,12.807572
-4.626224,150,13.113749
-14.857478,150,13.422523
-1.084281,150,13.735463
-13.352252,150,14.0656
-14.667413,150,14.372625
-21.408854,150,14.680227
-2.981657,150,14.988605
-29.378378,150,15.297037
2.218572,150,15.643806
-25.180281,150,15.971168
-28.631193,150,16.298531
1.772988,150,16.648517
-14.904408,150,16.979147
-14.907507,150,17.295863
-7.463304,150,17.680156
-0.441069,150,18.022856
-4.214533,150,18.336982
-6.621883,150,18.672288
1.969649,150,19.007726
-9.064909,150,19.342214
6.903644,150,19.701147
-15.438569,150,20.083688
-15.793169,150,20.50278
-14.158899,150,20.944388
8.446248,150,21.28211
4.637957,150,21.625467
-1.038169,150,21.969559
-15.772501,150,22.373555
-3.816983,150,22.783246
-10.908069,150,23.59404
9.425578,150,23.949651
11.691049,150,24.316876
-6.167452,150,24.686328
-7.970207,150,25.055353
-10.236716,150,25.423062
4.371373,150,25.770492
7.794551,150,26.080844
-0.55609,150,26.392115
-0.717503,150,26.701234
-2.288014,150,27.011551
-10.368392,150,27.324373
-10.029914,150,27.633166
0.325165,150,27.958674
-10.547903,150,28.287008
-15.84061,150,28.633156
2.93136,150,28.986058
-4.818413,150,29.34414
-8.466319,150,29.668812
-9.68095,150,29.990413
-13.445456,150,30.323209
9.314226,150,30.650565
0.221716,150,30.980944
-4.643473,150,31.306111
-20.530328,150,31.624903
-14.83346,150,31.940023
4.934957,150,32.25062
7.433464,150,32.619639
0.083528,150,33.103697
-2.048676,150,33.436408
-21.586011,150,33.766325
10.907327,150,34.101053
16.368924,150,34.432286
-37.869072,150,34.756199
4.248219,150,35.076855
11.502267,150,35.50405
-1.378354,150,35.896369
-8.492697,150,36.228606
12.31327,150,36.567088
-9.695566,150,36.964023
-16.778083,150,37.469797
-9.841994,150,37.850114
-0.436622,150,38.23166
-2.795532,150,38.61576
-12.980117,150,39.006697
-10.280801,150,39.494715
-4.639272,150,39.841253
-5.678079,150,40.206528
-4.1747,150,40.585613
-2.713725,150,41.094707
-23.009577,150,41.530681
7.435106,150,41.894618
-3.813593,150,42.274668
0.290028,150,42.656361
-11.226412,150,43.014772
-20.069616,150,43.382198
-17.191131,150,43.751468
13.950173,150,44.118326
-36.422188,150,44.498693
-0.191923,150,45.044383
-4.303202,150,45.437744
-0.273089,150,45.777718
-20.55741,150,46.123468
-6.364619,150,46.448465
-4.123188,150,46.77242
-13.693551,150,47.169251
-8.31462,150,47.672548
1.631077,150,48.431438
-0.505288,150,48.800049
-12.952103,150,49.158318
7.6503,150,49.526133
1.767194,150,49.88571
-17.154831,150,50.256282
5.090343,150,50.607114
-0.02565,150,50.972771
5.202577,150,51.339196
5.043072,150,51.704858
-7.269827,150,52.053227
-12.036469,150,52.407984
5.713876,150,52.758846
-13.510344,150,53.108601
-11.135819,150,53.475126
-10.317872,150,53.842486
10.954702,150,54.214331
14.998039,150,54.566689
17.626385,150,54.911931
-17.128889,150,55.272922
-0.776162,150,55.618555
3.312824,150,55.993229
3.037788,150,56.360718
-0.233556,150,56.720132
11.046603,150,57.123161
16.79983,150,57.506677
4.084623,150,57.860745
8.948819,150,58.233486
11.945762,150,58.671768
-1.037528,150,59.001664
5.880934,150,59.329879
4.13645,150,59.659549
9.770274,150,59.975481
-18.451388,150,60.297142
7.77194,150,60.625173
1.664257,150,60.950145
-15.713844,150,61.264182
-3.53916,150,61.575991
-1.334307,150,61.889152
-9.478549,150,62.211299
-16.085487,150,62.524732
-4.81418,150,62.837327
-21.576295,150,63.16669
1.508975,150,63.538862
-16.676706,150,63.887955
2.156336,150,64.225797
-12.1856,150,64.612767
0.031536,150,65.107859
-20.139322,150,65.536272
7.306018,150,65.901046
-10.390368,150,66.269397
-2.906404,150,66.633335
4.105648,150,66.989037
-3.509681,150,67.381933
-7.126107,150,67.811042
9.796248,150,68.222545
-1.307289,150,68.575194
-3.729023,150,68.887512
1.848921,150,69.222935
9.240068,150,69.582425
-19.268379,150,69.982267
1.498676,150,70.313063
-2.839103,150,70.635872
1.658212,150,70.978716
-0.328941,150,71.293514
5.656944,150,71.604073
9.959183,150,71.935836
-1.966981,150,72.629377
13.790806,150,72.947947
-0.534229,150,73.277014
-4.949745,150,73.600767
-14.909117,150,73.965518
-31.18894,150,74.294279
4.64181,150,74.611947
-8.760389,150,74.9289
-9.401641,150,75.265749
7.467429,150,75.737695
-2.104483,150,76.068574
-7.449869,150,76.409336
-3.16413,150,76.746815
-21.31399,150,77.082215
0.941985,150,77.40435
-3.065079,150,77.729637
-17.455184,150,78.047149
-18.617085,150,78.366133
-3.885457,150,78.686465
-18.751897,150,79.003829
0.350576,150,79.326692
-23.288941,150,79.643155
6.2867,150,79.962014
7.256655,150,80.284823
-8.639874,150,80.600534
-2.175998,150,80.92467
-5.329264,150,81.247356
-8.306533,150,81.562157
-17.440856,150,81.887105
-5.066405,150,82.204385
6.201103,150,82.522307
3.892336,150,82.845313
-5.407601,150,83.171848
-4.826462,150,83.499554
3.264636,150,83.816577
8.619633,150,84.16325
11.86742,150,84.674778
-12.618955,150,85.025888
5.376149,150,85.383845
14.523626,150,85.725928
-1.883101,150,86.042629
10.901729,150,86.359378
-7.331476,150,86.670143
2.237716,150,86.986906
-14.575723,150,87.299306
-20.321261,150,87.616681
-15.998276,150,87.92678
-6.97149,150,88.244296
0.458962,150,88.584198
-6.357446,150,88.926111
-25.656147,150,89.265377
13.075811,150,89.605041
-6.293818,150,89.949349
5.79763,150,90.27267
-22.968452,150,90.631722
11.98002,150,91.000986
-7.096947,150,91.311812
-5.02477,150,91.672504
-4.326478,150,91.995512
-8.368735,150,92.303703
1.924297,150,92.615533
4.567813,150,92.9288
-5.799563,150,93.260525
-14.078443,150,93.624824
-2.862338,150,93.988021
-2.293612,150,94.300093
-6.088361,150,95.020812
-5.015749,150,95.355737
-24.647615,150,95.701087
-3.549967,150,96.043864
-21.61767,150,96.366327
0.28301,150,96.686093
-14.179886,150,97.009823
-11.495289,150,97.324256
-11.470411,150,97.64916
2.387194,150,97.979239
3.105893,150,98.295724
-7.08801,150,98.622818
-12.974237,150,99.021734
-10.642146,150,99.432511
-1.6207,150,99.837895
7.394138,150,100.228353
-6.364951,150,100.605429
12.643977,150,100.96886
-4.210696,150,101.322186
9.810637,150,101.67978
6.697035,150,102.034511
-7.361537,150,102.390721
-18.423484,150,102.737981
-13.085222,150,103.096092
-9.645958,150,103.455434
-23.869123,150,103.823965
-21.031949,150,104.212483
-6.385367,150,104.599685
-7.405621,150,104.970904
-4.411251,150,105.343686
-3.238034,150,105.703402
-5.129241,150,106.060692
-14.562071,150,106.418754
0.113891,150,106.784987
-2.093234,150,107.157305
9.069991,150,107.511011
-8.024101,150,107.894128
-16.033877,150,108.272599
-17.510033,150,108.639509
-4.632466,150,109.062814
-4.785012,150,109.434192
-7.047015,150,109.794313
-13.740509,150,110.145093
-7.969219,150,110.46627
-0.613243,150,110.782158
-18.884678,150,111.121592
-9.397574,150,111.451583
-7.448177,150,111.779156
1.771931,150,112.103999
-5.408087,150,112.432215
-5.961083,150,112.750879
3.153371,150,113.077173
-16.19271,150,113.390385
1.360178,150,113.718517
5.257563,150,114.042248
-12.600586,150,114.36807
2.496209,150,114.688822
-8.19812,150,115.009311
8.719635,150,115.327262
-6.917038,150,115.678814
15.580965,150,116.062609
-1.271574,150,116.45454
-1.482799,150,116.819127
-8.648642,150,117.186575
-0.273089,150,117.541667
15.983283,150,117.90446
0.073798,150,118.291272
-23.107036,150,118.986248
8.898052,150,119.309298
-16.497498,150,119.623065
5.311378,150,119.936573
6.443464,150,120.25455
-11.007094,150,120.577439
-13.141186,150,120.951133
12.742,150,121.361503
-4.814423,150,121.721988
-10.007129,150,122.068984
-1.013541,150,122.436093
5.075755,150,122.778138
-1.442067,150,123.152436
1.280747,150,123.513339
2.674193,150,123.848583
-6.406455,150,124.206499
-4.063411,150,124.53633
-5.802978,150,124.860711
-8.555707,150,125.180422
-8.070229,150,125.507552
