#{"t_start": 1600107074.9037788, "env_id": "Reacher2Dof-v0"}
r,l,t
-8.403068,150,0.926358
-4.643836,150,1.440437
-84.483207,150,1.828539
-170.390246,150,2.081107
-77.820663,150,2.475814
-81.219153,150,2.731817
-73.879228,150,3.132792
-135.997361,150,3.359117
-166.221912,150,3.730675
-154.965496,150,3.937607
-87.367597,150,4.298604
-81.253523,150,4.502516
-172.295176,150,4.850683
-172.719877,150,5.062866
-61.789635,150,5.393187
-107.747612,150,5.60584
-149.028737,150,5.965308
-174.490796,150,6.189936
-54.385185,150,6.541384
-75.554744,150,6.766282
-77.12758,150,7.094136
-77.069369,150,7.300248
-33.662216,150,7.648777
-111.033254,150,7.849959
-127.562335,150,8.175071
-175.154341,150,8.387919
-102.987584,150,8.739955
-122.322651,150,8.93794
-137.607605,150,9.259416
-153.058205,150,9.457767
-78.230885,150,9.778658
-170.692491,150,9.980246
-100.856398,150,10.310817
-86.174417,150,10.511629
-114.422474,150,10.831984
-65.780363,150,11.028765
-56.648018,150,11.368816
-60.19594,150,11.572001
-48.92971,150,11.893484
-28.851887,150,12.092849
-59.024619,150,12.416048
-53.820677,150,12.614941
-51.008102,150,12.961251
-59.638801,150,13.163193
-83.84211,150,13.522943
-53.029771,150,13.726351
-59.510239,150,14.045838
-77.57919,150,14.244235
-46.646023,150,14.601631
-65.528412,150,14.801003
-83.152953,150,15.120911
-53.334021,150,15.320137
-54.835248,150,15.639467
-56.369722,150,15.836589
-24.269204,150,16.152637
-24.605885,150,16.349921
-52.951807,150,16.674598
-39.921245,150,16.871484
-75.464975,150,17.197459
-75.59581,150,17.397466
-82.447183,150,17.720144
-64.604284,150,17.920158
-36.093134,150,18.240492
-51.542233,150,18.436702
-70.630757,150,18.753851
-68.784766,150,18.949889
-93.734725,150,19.674827
-46.640514,150,19.87191
-51.134867,150,20.196098
-94.616056,150,20.39423
-72.923401,150,20.713769
-6.075793,150,20.911643
-2.695173,150,21.232254
15.315171,150,21.429837
-6.339025,150,21.748642
-1.419203,150,21.953106
-8.610865,150,22.281548
-3.968922,150,22.48484
3.011832,150,22.838724
-4.086582,150,23.035198
-14.482719,150,23.355654
-60.013016,150,23.581816
-4.421627,150,23.900373
-6.855188,150,24.107162
-9.180994,150,24.446465
-11.85513,150,24.641912
-20.468051,150,24.964259
10.974054,150,25.160219
10.103018,150,25.481851
-10.741571,150,25.67762
-20.939683,150,25.997246
-6.477621,150,26.193713
1.010641,150,26.512165
2.464554,150,26.712098
-5.372542,150,27.03128
-7.538801,150,27.230684
-23.503516,150,27.551126
4.908768,150,27.74597
9.191789,150,28.069067
-19.460897,150,28.270025
-0.828846,150,28.586779
9.263471,150,28.782829
3.316392,150,29.100378
-15.031311,150,29.299754
0.10245,150,29.6187
-8.539829,150,29.816316
-36.394107,150,30.136747
-8.117904,150,30.335557
1.238608,150,30.662452
-77.006265,150,30.864394
-5.300389,150,31.187736
-18.919012,150,31.388433
-9.447914,150,31.71796
-58.030413,150,31.919596
4.265703,150,32.23954
-8.293436,150,32.436312
-20.918947,150,32.756937
-66.384469,150,32.953806
-77.42241,150,33.281837
-3.668643,150,33.482204
-24.977874,150,33.801758
-17.794145,150,34.001975
-12.886687,150,34.32994
-1.334946,150,34.528743
-6.217685,150,34.84883
-3.708244,150,35.045758
-9.433418,150,35.366843
-11.045084,150,35.570148
-101.878986,150,35.911657
2.328546,150,36.125301
-51.730581,150,36.45548
-5.582567,150,36.702986
-6.401371,150,37.063485
1.741112,150,37.650027
10.14142,150,37.970201
-10.514242,150,38.167117
6.171134,150,38.487988
-20.611366,150,38.689209
-22.103263,150,39.017634
2.434253,150,39.215525
-9.508808,150,39.535858
0.902455,150,39.737049
-8.069932,150,40.059709
-18.492528,150,40.258204
-4.489649,150,40.578391
-0.41884,150,40.78098
-8.260151,150,41.103898
3.071035,150,41.305009
-5.991432,150,41.627508
8.457005,150,41.826868
11.329137,150,42.161637
13.978681,150,42.357551
-1.34696,150,42.679562
-1.177461,150,42.875592
2.512291,150,43.200023
13.555364,150,43.400988
7.135677,150,43.722564
7.418454,150,43.922737
12.152831,150,44.24668
5.121577,150,44.444057
-1.362092,150,44.792462
8.324525,150,44.992445
-6.168347,150,45.336522
2.570895,150,45.538207
11.268793,150,45.857282
4.843954,150,46.052546
-22.143361,150,46.375762
6.094953,150,46.576309
14.838393,150,46.898411
-15.930778,150,47.097104
10.529248,150,47.42424
-1.182391,150,47.630918
-4.372593,150,47.969376
-17.054524,150,48.182516
-5.222376,150,48.52387
-6.723741,150,48.725624
9.551174,150,49.065602
-14.894864,150,49.285201
2.044733,150,49.617654
-2.300794,150,49.821818
5.246385,150,50.159824
-13.570792,150,50.37377
5.426976,150,50.70699
-13.090451,150,50.918583
-3.008997,150,51.263014
2.430189,150,51.495094
-2.560724,150,51.836119
-7.896734,150,52.047947
5.010774,150,52.386773
-2.63453,150,52.596277
-4.362882,150,52.935735
-16.297436,150,53.145257
8.606176,150,53.473255
-17.43233,150,53.678322
3.867636,150,54.009924
-7.758543,150,54.223872
-10.369148,150,54.565189
11.111678,150,54.768835
-0.614743,150,55.092749
7.724192,150,55.292784
-16.417106,150,55.99631
14.638355,150,56.201461
-4.426985,150,56.523944
-26.154917,150,56.73249
-4.575761,150,57.061592
-17.862438,150,57.263121
-3.755122,150,57.596063
-6.092518,150,57.800618
0.993836,150,58.131533
-1.144724,150,58.337619
5.77599,150,58.666471
3.03458,150,58.869211
-2.218621,150,59.192949
-11.102484,150,59.402737
-24.830755,150,59.74505
-6.363195,150,59.951633
-2.407705,150,60.28345
-7.427334,150,60.488076
6.011206,150,60.834647
-19.511608,150,61.037183
-6.816076,150,61.364795
-14.762891,150,61.566493
3.16689,150,61.886703
-2.757127,150,62.087001
-4.239583,150,62.409728
-8.320079,150,62.614132
7.088129,150,62.939647
-4.456331,150,63.140755
-25.23138,150,63.468668
-12.075126,150,63.665983
7.025804,150,63.991272
-0.759577,150,64.193004
-6.607735,150,64.527535
1.511157,150,64.732508
-16.300996,150,65.059698
-3.918705,150,65.262066
10.820594,150,65.609843
-15.302734,150,65.81329
5.758649,150,66.164948
11.506302,150,66.36946
-13.112429,150,66.715606
-1.572913,150,66.917745
-27.509496,150,67.24128
-12.804111,150,67.441358
-11.193853,150,67.764427
-19.67496,150,67.963889
-12.144238,150,68.286436
-18.455217,150,68.485823
-14.025303,150,68.807008
-6.439141,150,69.006387
-9.452878,150,69.33811
11.892899,150,69.536004
-6.934107,150,69.857045
0.268003,150,70.053203
-22.650526,150,70.377506
4.702492,150,70.576657
-13.307725,150,70.899531
-0.970911,150,71.096699
-10.724819,150,71.42207
-6.736215,150,71.622703
4.828753,150,71.944962
-1.492398,150,72.155264
-1.727722,150,72.484095
-0.120128,150,72.683747
-11.093768,150,73.002284
-25.907824,150,73.201686
-11.683267,150,73.898997
-10.963124,150,74.109902
-17.963877,150,74.438156
-15.816606,150,74.639421
-22.801931,150,74.98318
-7.532652,150,75.192482
-5.588674,150,75.532388
-5.408786,150,75.738349
-26.335717,150,76.072754
-16.527734,150,76.275685
3.558228,150,76.612034
5.415513,150,76.821853
-31.933944,150,77.165869
-16.234801,150,77.369635
9.652834,150,77.716802
7.546077,150,77.916769
-14.965943,150,78.246007
2.467577,150,78.455631
-8.048765,150,78.798315
6.873284,150,79.005501
-18.027962,150,79.358646
-4.018403,150,79.570724
-4.460538,150,79.910869
-9.050353,150,80.124623
-4.633753,150,80.471165
-14.868618,150,80.67713
-33.967889,150,81.033383
-16.640632,150,81.241815
-10.127811,150,81.596572
-9.242182,150,81.828632
9.130087,150,82.263973
-9.664966,150,82.487707
-15.871251,150,82.87025
-2.300418,150,83.097894
-12.381434,150,83.433562
-26.540412,150,83.638366
-2.805519,150,83.968159
-12.79422,150,84.177493
-26.290031,150,84.512555
-10.521598,150,84.715987
-8.436543,150,85.079091
-5.088024,150,85.291479
-23.471043,150,85.631812
-8.006041,150,85.841079
-11.206171,150,86.172958
-3.57008,150,86.408238
-20.234448,150,86.742639
-3.05006,150,86.94878
-4.552957,150,87.278664
-21.465655,150,87.48084
-2.863629,150,87.823432
16.619535,150,88.040775
-1.974891,150,88.365716
-15.860779,150,88.589864
3.072945,150,88.918924
-13.56654,150,89.121143
15.917894,150,89.456972
-6.977226,150,89.658609
6.122426,150,89.995267
-3.619725,150,90.196078
7.932191,150,90.532045
-9.550954,150,90.736599
-16.061428,150,91.059083
-14.765143,150,91.259354
0.823404,150,91.582448
9.564811,150,91.786383
1.524199,150,92.128412
-28.337961,150,92.714022
-5.908461,150,93.058829
-1.305964,150,93.271319
-1.601181,150,93.616331
-29.536207,150,93.828028
-12.564911,150,94.17932
