#{"t_start": 1600106454.5245001, "env_id": "Reacher2Dof-v0"}
r,l,t
-31.410381,150,1.302497
-0.802225,150,1.397135
4.303355,150,1.489607
-23.455502,150,1.580327
-11.052588,150,1.672806
-18.844346,150,1.769192
-11.951829,150,2.390682
-7.793635,150,2.48471
1.628289,150,2.576871
-16.868864,150,2.668109
-8.740905,150,2.758437
-1.610538,150,2.853312
-30.411285,150,2.939913
-9.192332,150,3.079251
-33.038352,150,3.170481
-2.595156,150,3.263035
-21.446935,150,3.357208
-13.912088,150,3.447124
-10.639858,150,3.548697
-30.494848,150,3.646601
-22.218733,150,3.795624
-8.684258,150,3.895501
-21.159739,150,4.001759
-7.958443,150,4.100511
-2.961591,150,4.19842
-16.881018,150,4.293082
-7.123978,150,4.385776
-18.267369,150,4.534233
-14.226447,150,4.626562
-18.371218,150,4.719689
1.510716,150,4.816272
-20.451225,150,4.913967
-12.35564,150,5.014512
-16.061788,150,5.129576
5.726281,150,5.308995
-7.714242,150,5.414294
-2.958102,150,5.50926
-3.656962,150,5.60274
2.507129,150,5.711328
-10.185923,150,5.804493
-3.345365,150,5.954365
-28.124209,150,6.04918
-1.778414,150,6.143627
-2.890069,150,6.245538
-21.597909,150,6.341527
-29.998369,150,6.436041
-20.198858,150,6.530951
-5.208034,150,6.674281
3.316575,150,6.76858
-17.861045,150,6.863331
-0.363995,150,6.963394
-1.061432,150,7.062345
-5.040563,150,7.158926
-9.862159,150,7.249696
1.668741,150,7.390864
-17.012311,150,7.479453
-4.984087,150,7.571365
-20.608164,150,7.664673
-4.071908,150,7.756998
-6.558548,150,7.846953
-30.843844,150,7.938799
-27.005792,150,8.07918
-20.244125,150,8.172894
-13.448254,150,8.265782
-44.97892,150,8.362107
-34.802633,150,8.457958
4.384822,150,9.11106
-12.708047,150,9.208092
-31.325159,150,9.35122
-28.82145,150,9.443259
-0.814736,150,9.541929
1.477483,150,9.646897
-5.931617,150,9.75714
-13.188673,150,9.865111
-23.147853,150,9.973118
-19.007819,150,10.134403
-10.403736,150,10.23928
-22.609928,150,10.343066
-0.844994,150,10.451482
9.061309,150,10.550995
-11.529551,150,10.644947
-16.815358,150,10.793272
-18.758947,150,10.895858
2.130728,150,10.992119
-15.537974,150,11.100596
-30.325027,150,11.20778
-5.726975,150,11.311429
-10.426557,150,11.409366
-7.773611,150,11.554408
-16.279413,150,11.648485
-12.716287,150,11.74388
-22.425748,150,11.83656
3.881217,150,11.931839
-15.079034,150,12.029335
-9.187755,150,12.127523
-4.926643,150,12.272264
5.382841,150,12.367591
-19.518811,150,12.462917
-2.857968,150,12.561113
-7.705402,150,12.657386
4.092499,150,12.74955
-2.019991,150,12.842262
-7.014508,150,12.992851
-15.526554,150,13.089037
-22.052357,150,13.182994
-1.23169,150,13.275097
-5.315585,150,13.366592
-31.788833,150,13.463083
-11.080267,150,13.55748
-14.935899,150,13.70663
-14.197309,150,13.812567
-16.824683,150,13.921203
0.02725,150,14.021472
-3.743703,150,14.122246
-14.391862,150,14.223476
7.897734,150,14.316808
-3.318984,150,14.461307
-26.581241,150,14.557075
-11.62381,150,14.65204
-4.403386,150,14.741992
5.54199,150,14.837055
-15.907861,150,14.931913
-15.204684,150,15.083349
-17.610805,150,15.192054
-19.953445,150,15.28673
-19.378563,150,15.382566
-8.770691,150,15.474058
-3.837081,150,15.569084
