#{"t_start": 1599909272.3654997, "env_id": "Reacher2Dof-v0"}
r,l,t
2.250192,150,1.276508
-13.169986,150,1.582141
-12.644742,150,1.89944
-12.644148,150,2.21009
-13.534624,150,2.526901
-11.764348,150,2.865721
-9.318754,150,3.233742
-8.801437,150,3.611816
10.703525,150,3.931508
-14.639237,150,4.251476
-5.872524,150,4.570926
-11.556978,150,4.897485
-13.34727,150,5.218781
-30.231524,150,5.534075
-15.0608,150,5.845659
-23.303354,150,6.170015
-68.369922,150,6.486766
-22.652441,150,6.804274
-72.111573,150,7.13881
-38.604551,150,7.458265
-25.215209,150,7.800602
-32.162899,150,8.128327
-4.460731,150,8.462353
-13.376357,150,8.794495
-22.030094,150,9.133653
-24.458344,150,9.452363
10.217612,150,9.777287
-16.564023,150,10.115764
7.751202,150,10.454179
-16.076506,150,10.772616
-7.839608,150,11.095323
-22.717683,150,11.442355
-14.191924,150,11.761271
-18.662915,150,12.086686
-28.027789,150,12.436541
-8.137972,150,12.750191
3.262131,150,13.109063
-10.235305,150,13.422508
-23.483484,150,13.741884
-19.569847,150,14.076329
-11.156184,150,14.391982
-18.740341,150,14.706359
-5.486464,150,15.058766
-9.533954,150,15.381339
-30.470666,150,15.70427
5.36455,150,16.060158
-8.870534,150,16.388539
-30.896258,150,16.71298
0.129951,150,17.041688
-9.381427,150,17.367101
-45.238557,150,17.694324
1.63681,150,18.020957
-7.156453,150,18.354669
-1.879253,150,18.703958
-17.018562,150,19.028151
-15.024469,150,19.36365
-32.386453,150,19.696261
7.606383,150,20.020679
-14.609931,150,20.341794
-9.859091,150,20.658326
-16.474002,150,20.996727
-1.504127,150,21.359184
2.833392,150,21.688625
-19.930422,150,22.012009
-14.950001,150,22.335492
-4.021083,150,22.683217
