#{"t_start": 1599860244.2151134, "env_id": "Reacher2Dof-v0"}
r,l,t
-8.932978,150,0.7852
-18.061358,150,1.187909
-89.130011,150,1.5012
-82.847742,150,1.696565
-28.94106,150,2.012972
0.444433,150,2.208258
-61.398803,150,2.521239
11.00365,150,2.719759
7.687846,150,3.039688
6.324073,150,3.237669
-39.231741,150,3.55592
-3.947166,150,3.753878
0.012,150,4.076947
-68.292887,150,4.273457
-8.775797,150,4.591555
-1.889607,150,4.790914
-81.139462,150,5.112498
-14.80342,150,5.310073
-66.295197,150,5.63001
-17.81311,150,5.830349
-7.984206,150,6.152974
-109.551065,150,6.351805
-27.241399,150,6.67144
3.111212,150,6.867698
-7.789944,150,7.19119
-48.215119,150,7.393571
14.932771,150,7.714596
-10.099019,150,7.912457
14.023089,150,8.235555
-11.556098,150,8.432273
-12.57233,150,8.759952
-20.539046,150,8.967733
-1.505518,150,9.291415
-23.798435,150,9.492878
-43.657725,150,9.816957
-9.964898,150,10.016343
-28.614016,150,10.347695
3.235895,150,10.549986
-2.271593,150,10.8719
11.510752,150,11.070996
-27.824479,150,11.391017
-7.225065,150,11.592309
-42.124697,150,11.916623
-33.14422,150,12.121898
-19.840213,150,12.443393
-56.815731,150,12.644513
2.648436,150,12.963042
-31.019052,150,13.162242
-30.451594,150,13.486307
-12.410807,150,13.684797
-86.087393,150,14.009073
3.886702,150,14.206071
-1.908082,150,14.531113
1.946045,150,14.731323
-13.709084,150,15.057016
8.292771,150,15.260494
-10.084821,150,15.595523
2.513668,150,15.794328
-10.767354,150,16.119853
-4.820339,150,16.319093
-18.332788,150,16.654313
-8.873571,150,16.857458
10.957489,150,17.181678
-17.192058,150,17.382927
-10.672105,150,17.710038
-19.488498,150,17.910429
