#{"t_start": 1599909221.2714431, "env_id": "Reacher2Dof-v0"}
r,l,t
-17.016378,150,1.129504
-9.345658,150,1.218089
-13.870058,150,1.307677
-14.839259,150,1.394243
-29.646975,150,1.478762
-10.085412,150,1.561551
-12.73341,150,2.053507
-31.109191,150,2.138201
3.413545,150,2.224806
-7.385694,150,2.311092
-14.730164,150,2.395933
-5.048434,150,2.477587
-29.422474,150,2.556056
-6.112525,150,2.678434
-32.979656,150,2.760847
-10.652532,150,2.844063
-19.492495,150,2.928404
-6.337502,150,3.013899
-9.918941,150,3.098647
-47.84301,150,3.191663
-30.787927,150,3.33449
-28.313829,150,3.429787
-18.680465,150,3.522706
2.75067,150,3.617905
-14.526104,150,3.711307
-32.073488,150,3.805136
-37.016869,150,3.898974
-26.53774,150,4.037646
-11.622703,150,4.13324
-23.204173,150,4.230768
1.252908,150,4.328163
-23.454002,150,4.415642
-29.239194,150,4.498955
-31.165894,150,4.590842
0.245786,150,4.719661
-39.609656,150,4.805624
-37.964409,150,4.891013
-25.438481,150,4.976224
2.653195,150,5.060168
-8.888951,150,5.145086
9.980499,150,5.274043
-14.035697,150,5.359339
-28.633304,150,5.442995
-2.45346,150,5.528242
-29.001035,150,5.611427
-32.807852,150,5.696517
-7.172137,150,5.781335
-5.732097,150,5.909415
-16.691511,150,5.995407
-23.831,150,6.080346
1.83591,150,6.165096
-18.727477,150,6.24996
-13.513168,150,6.335073
-1.529025,150,6.419928
4.780264,150,6.548927
-15.422328,150,6.632092
-0.472226,150,6.717429
-32.786189,150,6.803023
-0.982899,150,6.888609
-2.281553,150,6.974011
-23.323445,150,7.059311
-28.447916,150,7.190219
-16.345134,150,7.274148
-6.647669,150,7.357878
-21.877447,150,7.44207
-25.284669,150,7.525661
4.148507,150,8.114492
-6.558047,150,8.198441
