#{"t_start": 1599860106.3848767, "env_id": "Reacher2Dof-v0"}
r,l,t
-35.856724,150,1.276209
-8.03606,150,1.581718
-14.171648,150,1.886716
-7.461006,150,2.189893
-9.350591,150,2.496885
2.548061,150,2.800657
-5.72244,150,3.10773
-14.536144,150,3.411481
-9.715013,150,3.719107
-7.844891,150,4.050299
-17.038261,150,4.420258
-0.146442,150,4.798977
-28.365301,150,5.257795
-40.751127,150,5.655474
-20.535036,150,6.000588
-8.936774,150,6.339959
-19.107056,150,6.6955
-4.807945,150,7.076132
1.733938,150,7.468347
-25.413474,150,7.91223
-26.789341,150,8.352658
-12.620565,150,8.725786
-11.034586,150,9.091528
-8.556197,150,9.456231
-1.417226,150,9.828236
-11.336258,150,10.227808
-12.526028,150,10.685816
-15.531454,150,11.05088
-24.762796,150,11.430041
-26.884538,150,11.820072
-6.606999,150,12.175892
-22.088431,150,12.500252
-11.807288,150,12.823494
-17.558789,150,13.189327
-3.566089,150,13.557237
-19.031597,150,13.924404
-33.267828,150,14.277154
-11.953781,150,14.588604
-12.628591,150,14.901246
-17.508877,150,15.211475
-3.321729,150,15.519442
-32.826765,150,15.829168
-13.08021,150,16.141164
-26.287916,150,16.449725
-41.477698,150,16.797134
-82.218653,150,17.106395
-63.966317,150,17.417153
-36.644108,150,17.726738
-37.744085,150,18.061285
-50.329864,150,18.397781
-24.382308,150,18.723587
-46.168344,150,19.05043
-30.681741,150,19.39063
-28.161467,150,19.711783
-15.086037,150,20.021831
-24.914664,150,20.332989
-22.12557,150,20.648295
-31.384275,150,20.983933
-19.762246,150,21.317123
-22.296733,150,21.654568
-25.335665,150,22.062189
-30.060949,150,22.467238
-25.690036,150,22.825696
-24.181753,150,23.20137
-19.436346,150,23.518928
-13.466008,150,23.832971
